Vardas              Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 ND7                 ND8                 ND9                 ND10                ND11                ND12                ND13                ND14                ND15                ND16                Egz                 
Vardas1             Pavarde1            10                  4                   9                   1                   3                   5                   9                   4                   10                  1                   6                   3                   3                   8                   4                   8                   10                  
Vardas2             Pavarde2            1                   3                   4                   10                  10                  8                   1                   4                   10                  9                   7                   6                   8                   7                   3                   8                   1                   
Vardas3             Pavarde3            4                   10                  10                  10                  2                   8                   3                   4                   7                   6                   6                   9                   2                   5                   8                   2                   4                   
Vardas4             Pavarde4            9                   5                   9                   1                   5                   7                   1                   4                   3                   7                   10                  5                   2                   4                   8                   9                   9                   
Vardas5             Pavarde5            4                   9                   2                   6                   4                   6                   5                   4                   7                   6                   10                  6                   5                   10                  2                   8                   6                   
Vardas6             Pavarde6            6                   5                   2                   9                   9                   4                   6                   3                   3                   7                   7                   8                   9                   5                   2                   8                   2                   
Vardas7             Pavarde7            9                   8                   9                   8                   8                   5                   5                   10                  2                   6                   6                   6                   9                   3                   10                  9                   3                   
Vardas8             Pavarde8            1                   8                   5                   9                   6                   9                   4                   1                   7                   3                   3                   6                   3                   3                   8                   2                   6                   
Vardas9             Pavarde9            3                   2                   2                   1                   2                   9                   8                   7                   1                   1                   10                  6                   7                   3                   9                   6                   10                  
Vardas10            Pavarde10           5                   4                   10                  1                   6                   7                   4                   7                   4                   1                   9                   5                   1                   5                   7                   5                   7                   
Vardas11            Pavarde11           5                   4                   9                   5                   1                   1                   10                  4                   8                   6                   8                   3                   10                  8                   6                   7                   6                   
Vardas12            Pavarde12           4                   1                   5                   9                   6                   6                   6                   5                   3                   2                   10                  3                   5                   6                   9                   7                   3                   
Vardas13            Pavarde13           6                   2                   4                   10                  8                   4                   8                   6                   1                   3                   2                   9                   8                   2                   6                   6                   9                   
Vardas14            Pavarde14           6                   7                   8                   10                  5                   2                   7                   2                   3                   1                   5                   5                   6                   10                  8                   6                   4                   
Vardas15            Pavarde15           10                  1                   6                   6                   7                   4                   3                   7                   9                   10                  2                   5                   9                   9                   8                   2                   10                  
