Pavardė            Vardas              Galutinis (Vid.)    Galutinis (Med.)    
Pavarde1            Vardas1             8.20                7.60                
Pavarde10           Vardas10            6.23                6.20                
Pavarde100          Vardas100           5.77                5.60                
Pavarde1000         Vardas1000          7.92                7.60                
Pavarde101          Vardas101           7.08                7.20                
Pavarde103          Vardas103           7.15                7.20                
Pavarde104          Vardas104           6.60                6.40                
Pavarde106          Vardas106           6.97                7.20                
Pavarde108          Vardas108           7.80                7.80                
Pavarde11           Vardas11            5.97                6.00                
Pavarde113          Vardas113           6.38                6.20                
Pavarde115          Vardas115           8.50                8.80                
Pavarde117          Vardas117           7.10                6.80                
Pavarde120          Vardas120           5.75                5.20                
Pavarde121          Vardas121           5.88                5.60                
Pavarde123          Vardas123           5.72                5.20                
Pavarde124          Vardas124           7.50                7.40                
Pavarde125          Vardas125           6.20                5.40                
Pavarde126          Vardas126           5.95                5.80                
Pavarde128          Vardas128           5.38                5.00                
Pavarde13           Vardas13            7.52                7.80                
Pavarde130          Vardas130           5.50                5.80                
Pavarde133          Vardas133           6.42                6.00                
Pavarde134          Vardas134           6.75                6.80                
Pavarde135          Vardas135           5.80                6.00                
Pavarde138          Vardas138           5.17                5.60                
Pavarde142          Vardas142           5.22                5.20                
Pavarde143          Vardas143           6.62                6.20                
Pavarde148          Vardas148           8.07                8.20                
Pavarde15           Vardas15            8.45                8.40                
Pavarde155          Vardas155           6.62                6.40                
Pavarde156          Vardas156           9.18                9.20                
Pavarde157          Vardas157           7.65                7.80                
Pavarde160          Vardas160           6.95                6.80                
Pavarde161          Vardas161           7.55                7.40                
Pavarde162          Vardas162           7.70                7.40                
Pavarde163          Vardas163           5.77                6.00                
Pavarde164          Vardas164           5.10                5.00                
Pavarde166          Vardas166           5.25                5.00                
Pavarde168          Vardas168           7.15                7.60                
Pavarde17           Vardas17            8.25                8.00                
Pavarde171          Vardas171           6.53                6.60                
Pavarde172          Vardas172           6.92                6.80                
Pavarde173          Vardas173           8.18                8.00                
Pavarde174          Vardas174           7.60                7.00                
Pavarde175          Vardas175           7.47                7.60                
Pavarde178          Vardas178           5.28                5.00                
Pavarde179          Vardas179           5.60                5.60                
Pavarde183          Vardas183           6.72                6.40                
Pavarde186          Vardas186           5.12                5.00                
Pavarde187          Vardas187           8.03                7.20                
Pavarde188          Vardas188           7.42                7.40                
Pavarde189          Vardas189           5.88                5.20                
Pavarde190          Vardas190           6.43                6.60                
Pavarde192          Vardas192           7.82                7.80                
Pavarde194          Vardas194           8.05                7.60                
Pavarde195          Vardas195           6.65                7.00                
Pavarde198          Vardas198           7.15                7.00                
Pavarde199          Vardas199           8.45                8.40                
Pavarde200          Vardas200           7.55                7.20                
Pavarde201          Vardas201           7.57                7.40                
Pavarde205          Vardas205           8.18                8.40                
Pavarde207          Vardas207           5.10                5.20                
Pavarde209          Vardas209           6.65                6.60                
Pavarde21           Vardas21            5.83                6.00                
Pavarde210          Vardas210           5.80                5.60                
Pavarde212          Vardas212           7.77                7.80                
Pavarde213          Vardas213           6.08                5.80                
Pavarde214          Vardas214           8.07                8.20                
Pavarde215          Vardas215           6.02                6.00                
Pavarde216          Vardas216           6.33                6.60                
Pavarde22           Vardas22            8.00                7.80                
Pavarde220          Vardas220           5.10                5.00                
Pavarde222          Vardas222           6.92                7.20                
Pavarde223          Vardas223           7.42                7.20                
Pavarde224          Vardas224           6.50                6.60                
Pavarde228          Vardas228           8.50                8.40                
Pavarde229          Vardas229           8.05                8.20                
Pavarde23           Vardas23            6.82                6.60                
Pavarde230          Vardas230           6.92                6.80                
Pavarde231          Vardas231           5.75                6.00                
Pavarde232          Vardas232           6.20                6.00                
Pavarde233          Vardas233           7.12                7.00                
