Pavardė            Vardas              Galutinis (Vid.)    Galutinis (Med.)    
Pavarde102          Vardas102           3.38                3.20                
Pavarde105          Vardas105           2.90                2.60                
Pavarde107          Vardas107           3.98                3.80                
Pavarde109          Vardas109           2.35                2.20                
Pavarde110          Vardas110           2.52                2.60                
Pavarde111          Vardas111           4.00                3.80                
Pavarde112          Vardas112           3.02                3.40                
Pavarde114          Vardas114           3.00                2.40                
Pavarde116          Vardas116           3.62                3.60                
Pavarde118          Vardas118           4.22                4.20                
Pavarde119          Vardas119           2.45                2.20                
Pavarde12           Vardas12            3.98                3.80                
Pavarde122          Vardas122           3.08                3.00                
Pavarde127          Vardas127           4.55                4.40                
Pavarde129          Vardas129           3.95                4.20                
Pavarde131          Vardas131           2.73                2.60                
Pavarde132          Vardas132           2.88                2.60                
Pavarde136          Vardas136           3.62                3.40                
Pavarde137          Vardas137           4.62                4.80                
Pavarde139          Vardas139           4.17                4.20                
Pavarde14           Vardas14            4.67                4.80                
Pavarde140          Vardas140           3.18                3.00                
Pavarde141          Vardas141           4.55                5.00                
Pavarde144          Vardas144           3.65                4.00                
Pavarde145          Vardas145           3.92                3.80                
Pavarde146          Vardas146           4.00                4.00                
Pavarde147          Vardas147           2.58                2.20                
Pavarde149          Vardas149           3.02                2.80                
Pavarde150          Vardas150           3.58                3.20                
Pavarde151          Vardas151           3.33                3.20                
Pavarde152          Vardas152           3.38                2.80                
Pavarde153          Vardas153           2.95                2.80                
Pavarde154          Vardas154           3.55                3.60                
Pavarde158          Vardas158           4.20                3.80                
Pavarde159          Vardas159           4.22                4.20                
Pavarde16           Vardas16            2.80                2.60                
Pavarde165          Vardas165           4.10                4.20                
Pavarde167          Vardas167           4.78                4.40                
Pavarde169          Vardas169           3.48                3.20                
Pavarde170          Vardas170           4.03                3.80                
Pavarde176          Vardas176           3.77                3.40                
Pavarde177          Vardas177           4.60                4.80                
Pavarde18           Vardas18            2.77                2.60                
Pavarde180          Vardas180           2.58                2.60                
